;annee;mois;jour;heure;minute;lat;long;Mref
0;2021;11;1;22;8;18,5;-62,32;5,2
1;2021;8;28;11;20;35,8;-3,31;5,2
2;2021;6;8;3;59;43,72;16,05;5
3;2021;4;6;8;54;45,06;17,15;5,1
4;2021;1;24;23;21;18,23;-63,9;5,4
5;2020;12;30;5;26;45,68;15,91;5,1
6;2021;1;6;17;1;45,56;16,06;5,4
7;2020;10;7;18;24;18,16;-64,38;5,6
8;2020;10;4;19;12;11.02;-61,51;5,2
9;2020;7;4;7;59;36,16;7,27;5,3
10;2019;9;21;14;4;41,64;19,66;5,4
11;2019;7;13;9;56;37,6;5,86;5,7
12;2019;2;16;4;35;35,51;-4,43;5,1
13;2019;1;14;23;4;44,58;11,91;5
14;2018;9;4;23;2;48,84;16,86;5,1
15;2018;9;9;11;48;-11,69;41,3;5
16;2018;8;21;5;47;-10,38;41,7;5,8
17;2018;8;16;18;19;42,22;15,13;5,5
18;2018;2;17;14;31;51,59;-3,78;5,1
19;2018;2;3;12;53;44,17;17,25;5
20;2018;2;6;14;27;36,36;5,24;5,1
