;annee;mois;jour;heure;minute;lat;long;Mref
0;2003;2;22;20;41;48,31;6,66;5,4
1;2004;12;5;1;52;48,08;7,99;5,3
2;2004;2;23;17;31;47,28;6,27;5,1
3;2009;5;5;1;39;47,68;7,73;4
4;2021;6;26;3;0;48,66;7,82;3,9
5;2020;12;4;5;59;48,66;7,81;3,6
6;2018;5;4;21;36;47,75;7,52;3,6
7;2010;7;30;1;56;48,81;7,71;3,4
8;2021;1;22;18;33;48,66;7,82;3,3
9;2005;11;3;0;18;48,29;7,43;3,3
10;2019;11;12;13;38;48,61;7,79;3
11;2011;11;1;19;22;48,19;7,69;3
12;2021;10;2;18;49;48;7,08;3
13;2012;1;28;5;31;47,99;7,24;3
14;2019;6;10;9;54;48,25;7,26;2,9
15;2010;1;16;2;23;48,34;7,79;2,9
16;2009;1;23;1;18;48,27;7,6;2,9
17;2003;6;10;22;54;48,92;7,79;2,9
18;2020;12;4;10;10;48,67;7,82;2,8
19;2021;4;10;0;49;48,66;7,82;2,8
20;2012;1;26;16;27;47,98;7,25;2,7
21;2021;5;26;13;48;48,66;7,82;2,7
22;2012;3;14;10;40;48,94;7,98;2,7
23;2000;11;12;23;36;48,1;7,75;2,7
24;2005;11;3;13;11;48,28;7,41;2,7
25;2003;6;11;15;3;48,92;7,83;2,7
26;2012;1;29;2;27;47,99;7,24;2,7
27;2020;10;28;4;39;48,66;7,79;2,7
28;2016;8;30;5;37;47,63;7,38;2,6
29;2012;12;6;12;3;48,7;7,65;2,6
30;2020;12;4;5;59;48,66;7,81;2,6
